customer_id,age,tenure_months,plan,monthly_spend,support_tickets,satisfaction_score,churned
C0000,22.0,97.0,basic,57.83,3,7.6,0
C0001,58.0,88.0,standard,122.52,1,8.8,0
C0002,52.0,67.0,basic,56.94,5,7.1,0
C0003,40.0,106.0,basic,65.02,1,9.3,0
C0004,40.0,16.0,standard,131.99,0,8.6,0
C0005,62.0,110.0,standard,81.85,1,8.7,0
C0006,22.0,102.0,premium,179.91,3,8.2,0
C0007,54.0,60.0,standard,116.2,0,9.4,0
C0008,28.0,88.0,standard,91.49,2,7.9,0
C0009,22.0,62.0,standard,101.89,1,9.1,0
C0010,45.0,32.0,standard,73.29,2,7.7,1
C0011,68.0,96.0,standard,136.2,0,10.0,0
C0012,56.0,30.0,standard,79.06,1,8.8,0
C0013,57.0,38.0,premium,168.55,0,8.9,0
C0014,55.0,62.0,standard,110.56,1,8.5,0
C0015,58.0,100.0,basic,707.13,1,8.7,0
C0016,44.0,46.0,standard,90.6,1,8.7,0
C0017,24.0,59.0,premium,200.47,2,8.3,0
C0018,61.0,5.0,basic,53.75,3,6.9,0
C0019,41.0,14.0,standard,99.68,0,8.5,0
C0020,44.0,7.0,premium,197.78,2,8.3,0
C0021,37.0,9.0,standard,86.93,1,8.6,0
C0022,27.0,104.0,premium,644.03,0,9.7,0
C0023,66.0,101.0,standard,111.8,3,8.0,0
C0024,58.0,98.0,standard,151.22,2,8.1,0
C0025,51.0,7.0,standard,104.95,3,7.5,0
C0026,38.0,10.0,premium,166.41,2,9.1,0
C0027,60.0,34.0,standard,83.26,0,9.6,0
C0028,46.0,68.0,standard,132.76,1,8.7,0
C0029,41.0,40.0,standard,64.23,0,9.0,0
C0030,41.0,59.0,standard,102.69,3,6.5,0
C0031,29.0,21.0,standard,110.76,4,7.3,0
C0032,22.0,87.0,standard,145.44,1,9.2,0
C0033,46.0,38.0,premium,155.66,3,7.5,0
C0034,64.0,8.0,standard,136.96,2,7.4,0
C0035,21.0,89.0,standard,108.43,6,5.7,1
C0036,62.0,108.0,standard,145.5,1,9.2,0
C0037,61.0,2.0,standard,93.43,6,5.7,1
C0038,32.0,52.0,standard,147.59,2,8.4,0
C0039,50.0,99.0,basic,80.79,3,7.9,0
C0040,,85.0,basic,66.31,0,9.8,0
C0041,57.0,102.0,standard,85.22,1,9.1,0
C0042,54.0,50.0,standard,,2,8.5,1
C0043,36.0,45.0,standard,122.56,3,6.7,0
C0044,21.0,85.0,basic,37.99,1,8.4,0
C0045,68.0,19.0,standard,124.8,0,8.9,0
C0046,41.0,29.0,basic,69.09,2,8.5,0
C0047,64.0,72.0,premium,195.13,0,10.0,0
C0048,53.0,80.0,premium,201.92,1,8.9,0
C0049,58.0,15.0,basic,80.68,2,7.7,0
C0050,57.0,61.0,  standard  ,82.53,1,8.0,0
C0051,28.0,44.0,basic,39.26,2,8.5,0
C0052,36.0,60.0,basic,73.86,1,8.5,0
C0053,42.0,115.0,basic,48.77,0,10.0,0
C0054,43.0,10.0,basic,76.78,4,6.6,1
C0055,20.0,119.0,standard,170.0,3,8.8,0
C0056,46.0,54.0,premium,227.41,1,9.2,0
C0057,26.0,92.0,basic,62.79,1,8.5,0
C0058,56.0,51.0,standard,125.55,3,7.7,0
C0059,53.0,38.0,standard,128.05,1,8.9,0
C0060,65.0,92.0,premium,192.18,3,7.9,0
C0061,56.0,82.0,standard,88.38,1,9.2,1
C0062,37.0,18.0,basic,66.68,0,9.4,0
C0063,68.0,84.0,standard,106.26,1,9.1,0
C0064,39.0,90.0,standard,79.28,0,9.4,0
C0065,34.0,47.0,premium,178.6,3,7.3,0
C0066,65.0,111.0,standard,154.95,1,9.0,0
C0067,37.0,77.0,standard,113.74,1,8.9,0
C0068,21.0,40.0,basic,26.47,3,6.8,1
C0069,42.0,2.0,standard,92.58,4,6.9,1
C0070,59.0,81.0,premium,119.81,1,9.0,0
C0071,27.0,25.0,standard,116.66,1,8.1,1
C0072,42.0,91.0,standard,82.6,3,7.7,0
C0073,24.0,63.0,premium,202.35,4,7.1,0
C0074,53.0,56.0,premium,153.85,0,10.0,0
C0075,42.0,20.0,standard,112.14,1,8.6,1
C0076,35.0,85.0,standard,130.36,1,9.3,0
C0077,29.0,20.0,standard,90.45,0,9.1,0
C0078,47.0,50.0,  standard  ,112.92,1,8.0,0
C0079,52.0,100.0,standard,144.58,2,8.7,0
C0080,66.0,110.0,basic,56.58,1,8.7,0
C0081,40.0,118.0,premium,188.13,1,9.1,0
C0082,26.0,115.0,premium,216.68,5,6.6,1
C0083,61.0,67.0,premium,142.12,5,6.8,0
C0084,50.0,24.0,premium,180.62,3,8.0,0
C0085,54.0,100.0,standard,137.85,1,9.3,1
C0086,,96.0,  premium  ,203.66,5,7.5,0
C0087,,118.0,premium,256.13,1,9.9,0
C0088,57.0,78.0,standard,81.9,2,7.5,0
C0089,61.0,17.0,standard,84.89,1,8.1,0
C0090,40.0,60.0,basic,74.05,2,7.5,0
C0091,59.0,54.0,standard,125.55,2,8.4,0
C0092,61.0,101.0,basic,48.75,2,8.1,0
C0093,38.0,47.0,basic,58.24,1,8.5,0
C0094,64.0,40.0,standard,143.71,1,8.6,0
C0095,32.0,10.0,standard,125.37,1,8.7,0
C0096,30.0,100.0,basic,67.6,2,7.8,0
C0097,53.0,90.0,premium,237.06,1,8.5,0
C0098,51.0,5.0,premium,259.05,4,7.0,0
C0099,25.0,52.0,basic,70.45,1,9.2,0
C0100,61.0,58.0,  basic  ,67.77,1,8.7,0
C0101,28.0,56.0,standard,95.5,5,6.2,0
C0102,59.0,110.0,premium,135.66,3,7.2,0
C0103,18.0,18.0,premium,164.92,9,4.7,1
C0104,59.0,37.0,basic,58.53,1,8.3,1
C0105,58.0,22.0,premium,128.88,2,7.7,0
C0106,58.0,30.0,basic,82.75,1,7.9,0
C0107,52.0,108.0,standard,153.29,2,7.9,0
C0108,42.0,112.0,premium,203.33,2,8.2,0
C0109,54.0,6.0,basic,55.52,2,7.8,1
C0110,32.0,76.0,basic,842.61,3,7.2,0
C0111,,28.0,standard,87.47,2,8.1,0
C0112,46.0,23.0,standard,120.51,0,9.0,1
C0113,41.0,35.0,premium,193.56,2,9.1,0
C0114,44.0,24.0,premium,189.34,3,6.9,0
C0115,47.0,59.0,basic,54.36,1,8.8,0
C0116,19.0,119.0,basic,,4,7.5,0
C0117,25.0,70.0,premium,148.63,5,6.3,0
C0118,30.0,87.0,basic,84.43,0,9.5,0
C0119,23.0,59.0,premium,201.52,1,9.2,0
C0120,40.0,2.0,standard,83.5,4,6.8,0
C0121,52.0,11.0,basic,21.36,8,5.2,1
C0122,52.0,32.0,premium,186.35,2,7.3,0
C0123,42.0,29.0,basic,61.2,0,8.8,0
C0124,62.0,101.0,standard,126.84,0,10.0,0
C0125,47.0,101.0,standard,93.56,1,9.3,0
C0126,22.0,102.0,standard,84.3,3,8.1,0
C0127,57.0,76.0,standard,115.17,1,9.3,0
C0128,47.0,67.0,standard,95.79,0,8.6,0
C0129,51.0,78.0,premium,227.61,3,8.2,0
C0130,47.0,49.0,premium,222.54,0,9.8,0
C0131,46.0,80.0,standard,77.09,1,8.6,0
C0132,22.0,95.0,basic,33.89,2,9.4,0
C0133,47.0,91.0,standard,100.19,3,7.9,0
C0134,59.0,74.0,premium,223.67,0,8.6,0
C0135,33.0,7.0,standard,128.69,1,8.6,0
C0136,49.0,87.0,standard,,1,8.6,1
C0137,19.0,44.0,standard,110.89,0,9.7,0
C0138,36.0,89.0,basic,48.43,1,9.1,0
C0139,40.0,65.0,standard,149.81,0,9.1,0
C0140,69.0,105.0,standard,88.03,2,9.0,0
C0141,29.0,41.0,premium,222.05,1,9.2,0
C0142,32.0,111.0,premium,192.97,3,7.7,0
C0143,39.0,101.0,premium,129.02,2,8.5,0
C0144,69.0,40.0,standard,106.65,0,9.4,0
C0145,62.0,58.0,standard,78.21,2,8.0,1
C0146,19.0,64.0,  standard  ,113.68,4,7.0,0
C0147,30.0,92.0,premium,180.61,1,9.1,0
C0148,60.0,83.0,standard,130.16,3,7.3,0
C0149,21.0,102.0,premium,184.83,3,7.1,0
C0150,62.0,45.0,basic,64.14,2,8.2,0
C0151,32.0,61.0,premium,238.62,2,7.6,0
C0152,65.0,52.0,basic,76.9,4,6.7,1
C0153,33.0,109.0,  basic  ,88.17,2,7.7,0
C0154,40.0,37.0,standard,94.49,0,8.5,0
C0155,52.0,70.0,basic,70.33,2,8.4,0
C0156,24.0,15.0,basic,62.92,2,7.9,0
C0157,46.0,102.0,basic,58.32,4,7.2,0
C0158,44.0,46.0,standard,129.34,1,8.2,0
C0159,58.0,41.0,premium,216.31,2,8.0,0
C0160,69.0,70.0,basic,60.55,1,9.0,0
C0161,52.0,60.0,standard,102.26,1,8.7,1
C0162,39.0,101.0,premium,193.96,1,9.4,0
C0163,39.0,64.0,basic,45.39,1,9.2,0
C0164,39.0,62.0,basic,58.35,2,8.1,0
C0165,60.0,13.0,premium,200.01,2,7.4,0
C0166,34.0,3.0,premium,167.48,4,6.7,1
C0167,26.0,48.0,standard,116.52,6,5.9,1
C0168,35.0,119.0,premium,196.2,0,9.4,0
C0169,19.0,110.0,basic,74.96,1,8.6,0
C0170,23.0,75.0,standard,135.4,3,7.8,0
C0171,22.0,76.0,standard,113.52,3,8.7,0
C0172,58.0,47.0,basic,70.09,0,9.0,0
C0173,55.0,22.0,  premium  ,198.08,0,9.3,0
C0174,54.0,2.0,standard,108.46,3,6.8,1
C0175,42.0,41.0,premium,178.74,0,9.9,0
C0176,55.0,38.0,standard,91.52,1,9.0,0
C0177,26.0,23.0,standard,104.07,2,8.3,0
C0178,64.0,31.0,basic,44.17,0,9.7,1
C0179,44.0,3.0,basic,34.19,2,7.7,0
C0180,66.0,73.0,premium,175.42,0,9.4,0
C0181,25.0,111.0,basic,93.87,2,9.1,0
C0182,43.0,83.0,basic,73.1,1,9.1,0
C0183,54.0,54.0,basic,40.86,2,7.3,0
C0184,43.0,51.0,basic,70.7,1,8.9,0
C0185,41.0,37.0,premium,,2,8.0,0
C0186,26.0,17.0,standard,134.08,4,7.2,0
C0187,37.0,72.0,premium,265.35,1,9.1,0
C0188,30.0,68.0,basic,68.65,0,8.6,1
C0189,33.0,1.0,standard,75.35,6,5.8,0
C0190,53.0,50.0,standard,114.88,1,8.8,0
C0191,50.0,34.0,standard,136.85,1,8.8,0
C0192,49.0,21.0,  premium  ,203.14,0,9.5,0
C0193,36.0,84.0,premium,179.68,3,8.5,0
C0194,67.0,63.0,premium,178.72,3,8.0,0
C0195,22.0,76.0,basic,74.91,3,7.7,0
C0196,35.0,85.0,basic,86.7,2,8.8,0
C0197,24.0,117.0,standard,123.58,7,6.6,0
C0198,35.0,96.0,basic,68.06,1,9.3,0
C0199,68.0,74.0,standard,103.78,0,9.5,0
C0200,37.0,105.0,standard,88.95,3,8.0,0
C0201,65.0,57.0,standard,154.15,4,7.2,0
C0202,43.0,118.0,premium,175.54,1,9.2,0
C0203,54.0,91.0,standard,76.09,0,10.0,0
C0204,41.0,78.0,basic,50.5,1,8.5,0
C0205,31.0,108.0,basic,48.11,0,10.0,0
C0206,,62.0,standard,103.95,1,8.7,0
C0207,68.0,86.0,standard,138.1,1,8.3,0
C0208,31.0,34.0,basic,40.87,1,8.5,0
C0209,58.0,115.0,standard,729.29,0,9.4,0
C0210,31.0,75.0,premium,219.88,0,9.8,0
C0211,55.0,94.0,premium,257.33,1,9.1,0
C0212,59.0,55.0,standard,83.55,1,8.3,0
C0213,41.0,104.0,standard,104.92,1,9.6,0
C0214,56.0,9.0,basic,86.01,3,7.8,0
C0215,32.0,14.0,standard,130.31,1,9.2,0
C0216,22.0,61.0,standard,120.54,1,8.8,0
C0217,23.0,88.0,standard,126.31,1,8.9,0
C0218,41.0,97.0,standard,103.45,3,8.1,0
C0219,64.0,53.0,basic,66.21,2,7.9,1
C0220,24.0,78.0,basic,55.28,6,6.1,0
C0221,41.0,66.0,basic,90.62,0,9.3,0
C0222,54.0,115.0,premium,223.66,2,8.0,0
C0223,28.0,78.0,standard,104.97,1,8.9,1
C0224,55.0,50.0,basic,42.86,1,8.5,1
C0225,33.0,116.0,premium,251.57,1,9.1,0
